Timestamp,Zone1Temp (C),Zone2Temp (C),JobPv,Zone1SafetyTemp (C),Zone2SafetyTemp (C)
2026-05-04 17:50:54,0.0,0.0,0.0,0.0,0.0
2026-05-04 17:51:54,0.0,0.0,0.0,0.0,0.0
2026-05-04 17:52:54,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:40:53,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:41:53,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:42:53,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:43:53,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:45:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:46:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:47:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:48:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:49:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:50:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:51:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:52:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:53:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:54:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:55:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 09:56:44,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:41:17,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:42:17,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:43:17,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:44:17,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:45:17,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:46:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:47:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:48:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:49:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:50:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:51:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:52:58,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:53:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:54:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:55:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:56:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:57:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:58:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 11:59:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:00:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:01:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:02:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:03:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:04:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:05:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:06:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:07:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:08:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:09:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:10:59,0.0,0.0,0.0,0.0,0.0
2026-05-05 12:11:59,0.0,0.0,0.0,0.0,0.0
